gene_id	logFC	logCPM	F	PValue	FDR	dataset_name	group_name	comparison_name
ENSG00000226314	-0.303147833279188	-0.890346298809405	0.337642114987509	0.570186309122809	1	Adults2	POS_F	baseline_D9
ENSG00000075413	0.073061759294152	6.31399316529795	0.337403707236134	0.570320912344311	1	Adults2	POS_F	baseline_D9
ENSG00000145041	0.0678266436665476	5.28141740393047	0.337345869022091	0.570353577059602	1	Adults2	POS_F	baseline_D9
ENSG00000230510	-0.256275405739087	-0.843677585120045	0.337322678355253	0.570366675286554	1	Adults2	POS_F	baseline_D9
ENSG00000182793	-0.415600218147861	-1.56615956219038	0.338491717484858	0.570370665469456	1	Adults2	POS_F	baseline_D9
ENSG00000148153	0.0589492562250697	4.62593805847329	0.337246377417993	0.570409774809273	1	Adults2	POS_F	baseline_D9
ENSG00000239789	-0.0787756669750734	2.72140510580106	0.337137312561993	0.570471392884712	1	Adults2	POS_F	baseline_D9
ENSG00000165121	0.126443017165779	0.647442903294927	0.336838486806967	0.570640288741055	1	Adults2	POS_F	baseline_D9
ENSG00000240291	-0.127532201444329	0.795082913166473	0.336667424514777	0.570737018478303	1	Adults2	POS_F	baseline_D9
ENSG00000162545	0.56198990199194	2.43471013788218	0.336621961955328	0.570762731551642	1	Adults2	POS_F	baseline_D9
ENSG00000066735	0.369219869576011	-1.13308738747712	0.336477485378555	0.570844461339434	1	Adults2	POS_F	baseline_D9
ENSG00000132746	-0.162695440318292	6.66922742915103	0.336336501040719	0.570924238449348	1	Adults2	POS_F	baseline_D9
ENSG00000160055	0.115193048093952	3.48725432751752	0.336289254417584	0.570950978382566	1	Adults2	POS_F	baseline_D9
ENSG00000173258	-0.407803325457471	-0.318275265054255	0.336041711351085	0.571091120591704	1	Adults2	POS_F	baseline_D9
ENSG00000282840	0.450783447774683	-1.39500144764311	0.335990891919376	0.571119899759321	1	Adults2	POS_F	baseline_D9
ENSG00000166377	-0.070900108084182	4.45963460471578	0.335989189742427	0.57112086375716	1	Adults2	POS_F	baseline_D9
ENSG00000236901	0.153995643395148	3.39791560261118	0.335863904048313	0.571191826156285	1	Adults2	POS_F	baseline_D9
ENSG00000159231	0.25345126876477	3.74666312093175	0.335670238546861	0.571301554387384	1	Adults2	POS_F	baseline_D9
ENSG00000276048	-0.17524655121662	0.719092327954223	0.335416458799633	0.571445407275419	1	Adults2	POS_F	baseline_D9
ENSG00000276742	-0.640633031105316	-2.24602979103338	0.3365253834651	0.571478649831019	1	Adults2	POS_F	baseline_D9
ENSG00000240954	0.492380338439216	-2.1537743633721	0.335281920995279	0.571521698696453	1	Adults2	POS_F	baseline_D9
ENSG00000254783	-0.237648064906659	-0.961825532715701	0.335161918901189	0.571589764896097	1	Adults2	POS_F	baseline_D9
ENSG00000184402	0.0695949345972175	4.56112547099234	0.335125337285325	0.571610517569496	1	Adults2	POS_F	baseline_D9
ENSG00000219928	-0.278784614816281	-1.71244317532479	0.335055142842247	0.571650343012032	1	Adults2	POS_F	baseline_D9
ENSG00000138231	-0.0647809771908659	4.09330369346091	0.335012793657631	0.571674372923456	1	Adults2	POS_F	baseline_D9
ENSG00000104221	-0.0876520398559744	2.47696603222499	0.334954343964128	0.571707542006227	1	Adults2	POS_F	baseline_D9
