	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219
Natural killer cell mediated cytotoxicity	0.959183673469388	0.175355450236967	0.920838183934808	0.0132450331125828	0.100877192982456	0.993558776167472	0.981935483870968	0.79448275862069	0.517615176151762	1	0.107843137254902	0.00564971751412429	0.0556930693069307	0.0338028169014084	0.899548532731377	0.218905472636816	0.667796610169492	0.229885057471264	0.003125	0.00210526315789474	0.0014265335235378	0.868831168831169	0.842377260981912	0.00126103404791929	0.162264150943396	0.968934911242604	0.390365448504983	0.879873551106428	0.00303030303030303	0.00228310502283105	0.00148367952522255	0.0147058823529412	0.00143266475644699	0.0297029702970297	0.929068150208623	0.655307994757536	0.0264705882352941	0.0045045045045045	0.854875283446712	0.0118577075098814	0.00267379679144385	0.0361635220125786	0.0296803652968037	0.00884955752212389	0.0248756218905473	0.141361256544503	0.9140625	0.130492676431425	0.11969696969697	0.087893864013267	0.00723763570566948	0.797074954296161	0.00237247924080664	0.825726141078838	0.0188888888888889	0.997674418604651	0.808184143222506	0.00113895216400911	0.0944272445820433	0.0169491525423729	0.962962962962963	0.0036101083032491	0.830097087378641
Necroptosis	0.995689655172414	0.97289972899729	1	0.959459459459459	0.0303030303030303	0.294736842105263	1	0.96	0.997389033942559	0.919125683060109	1	0.623931623931624	1	0.0372492836676218	0.214285714285714	0.193627450980392	1	1	0.0987261146496815	0.00655021834061135	0.00140845070422535	0.0357142857142857	1	0.00126262626262626	1	0.219117647058824	0.945679012345679	0.025	0.00294985250737463	0.0406320541760722	0.00145137880986938	0.0163934426229508	0.00141242937853107	0.994520547945206	0.182926829268293	1	0.493253373313343	0.00458715596330275	1	0.0193798449612403	0.955284552845528	0.91271056661562	1	0.834862385321101	0.524813895781638	0.00591715976331361	0.00833333333333333	0.159268929503916	0.591317365269461	0.71072319201995	0.00118764845605701	0.130681818181818	0.013986013986014	0.213793103448276	0.945115257958288	0.0990990990990991	0.995073891625616	0.00451977401129944	0.0492307692307692	0.0196078431372549	0.876651982378855	0.0397111913357401	0.906056860321384
Neuroactive ligand-receptor interaction	0.00735294117647059	0.117816091954023	0.120456905503634	0.493702770780856	0.609409190371991	0.259358288770053	0.542857142857143	0.189675870348139	0.697808535178777	0.00511770726714432	0.0127659574468085	0.0524079320113314	0.680942184154176	0.0100334448160535	0.557259713701431	0.00106609808102345	0.00611620795107034	0.0903328050713154	0.00446428571428571	0.0108932461873638	0.00363636363636364	0.0112359550561798	0.0982142857142857	0.00109409190371991	0.0384615384615385	0.00942126514131898	0.159021406727829	0.189	0.00416666666666667	0.313793103448276	0.00129533678756477	0.890342052313883	0.00121654501216545	0.0934343434343434	0.0607866507747318	0.0124223602484472	0.345132743362832	0.0958286358511838	0.209302325581395	0.052536231884058	0.00815850815850816	0.271753681392236	0.150081566068515	0.0454545454545455	0.00109170305676856	0.0135135135135135	0.272727272727273	0.437644341801386	0.00264550264550265	0.0028328611898017	0.00106269925611052	0.00706713780918728	0.00104275286757039	0.0204572803850782	0.0161616161616162	0.0416666666666667	0.00806451612903226	0.0278925619834711	0.00282885431400283	0.880040322580645	0.0278833967046895	0.0382608695652174	0.017563117453348
Neurotrophin signaling pathway	0.648760330578512	0.68870523415978	1	0.069364161849711	0.998712998712999	1	0.998717948717949	0.970802919708029	1	1	0.997987927565392	1	0.513227513227513	0.228813559322034	0.720338983050847	0.330049261083744	1	1	0.790251107828656	0.462686567164179	0.265625	0.96	0.790598290598291	0.305063291139241	0.08	1	0.806020066889632	1	0.126126126126126	1	0.085672082717873	0.483870967741935	0.738330975954738	1	1	0.0127118644067797	0.820740740740741	0.00448430493273543	0.998230088495575	0.504854368932039	0.796747967479675	0.925	0.926785714285714	0.997760358342665	0.756345177664975	0.543956043956044	0.952380952380952	1	0.995481927710843	0.989983305509182	0.661117717003567	0.947368421052632	0.765807962529274	0.651748251748252	0.645161290322581	0.288	0.023696682464455	0.954597048808173	0.994366197183099	1	0.599397590361446	0.980072463768116	0.156763590391909
Nicotinate and nicotinamide metabolism	0.397129186602871	0.968421052631579	0.423410404624277	0.747980613893376	0.971830985915493	0.375661375661376	0.234303215926493	0.962666666666667	0.723577235772358	0.342666666666667	0.709939148073022	0.962648556876061	0.208841463414634	0.727272727272727	0.361671469740634	0.448598130841121	0.180167597765363	0.327715355805243	0.649746192893401	0.948827292110874	0.732558139534884	0.832826747720365	0.827906976744186	0.23969465648855	0.663461538461538	0.318965517241379	0.898916967509025	0.379001280409731	0.881239242685026	0.852551984877127	0.843103448275862	0.416666666666667	0.904923599320883	0.804838709677419	0.959798994974874	0.289763779527559	0.447368421052632	0.584202682563338	0.931034482758621	0.324	0.250778816199377	0.708053691275168	0.0407407407407407	0.632538569424965	0.844011142061281	0.595744680851064	0.377384196185286	0.61993769470405	0.131336405529954	0.64203233256351	0.281899109792285	0.725646123260437	0.44683908045977	0.908333333333333	0.340397350993377	0.439592430858806	0.684684684684685	0.497948016415869	0.656179775280899	0.400255754475703	0.521428571428571	0.915384615384615	0.650381679389313
Nicotine addiction	0.494652406417112	0.444186046511628	0.515151515151515	0.548969072164949	0.358098068350669	0.321678321678322	0.535928143712575	0.497645211930926	0.291666666666667	0.189432989690722	0.0795228628230616	0.642248722316865	0.411575562700965	0.355960264900662	0.485094850948509	0.0013986013986014	0.294679399727149	0.282051282051282	0.0583554376657825	0.342359767891683	0.038860103626943	0.559880239520958	0.107246376811594	0.0102639296187683	0.119402985074627	0.505102040816326	0.387867647058824	0.317961165048544	0.126520681265207	0.667903525046382	0.247097844112769	0.25414364640884	0.0822942643391521	0.493710691823899	0.532467532467532	0.117478510028653	0.212698412698413	0.00578871201157742	0.578389830508475	0.212058212058212	0.830045523520486	0.200680272108844	0.0339622641509434	0.154135338345865	0.37888198757764	0.522827687776141	0.0451527224435591	0.14367816091954	0.288018433179723	0.311946902654867	0.514245014245014	0.113421550094518	0.490753911806543	0.50547730829421	0.617021276595745	0.432584269662921	0.270096463022508	0.455645161290323	0.196217494089835	0.411691542288557	0.709677419354839	0.398865784499055	0.63001485884101
Nitrogen metabolism	0.495073891625616	0.374087591240876	0.349275362318841	0.225118483412322	0.348242811501597	0.178733031674208	0.510673234811166	0.845238095238095	0.0503355704697987	0.573187414500684	0.3420523138833	0.428063943161634	0.524050632911392	0.662844036697248	0.742313323572474	0.127692307692308	0.159375	0.805607476635514	0.215158924205379	0.131238447319778	0.307692307692308	0.751219512195122	0.0878552971576227	0.814873417721519	0.328657314629259	0.833718244803695	0.27007299270073	0.332398316970547	0.832740213523132	0.0502092050209205	0.32258064516129	0.828840970350404	0.787654320987654	0.146282973621103	0.350961538461538	0.644371941272431	0.863425925925926	0.234177215189873	0.922053231939164	0.196392785571142	0.858552631578947	0.705747126436782	0.714851485148515	0.538690476190476	0.478048780487805	0.515669515669516	0.40327868852459	0.811290322580645	0.14548802946593	0.163793103448276	0.739130434782609	0.104761904761905	0.625	0.441176470588235	0.549723756906077	0.818965517241379	0.937837837837838	0.791907514450867	0.14207650273224	0.284671532846715	0.779896013864818	0.7	0.746105919003115
Non-alcoholic fatty liver disease (NAFLD)	0.0807174887892377	1	0.565217391304348	0.963636363636364	0.972375690607735	0.753246753246753	0.99002493765586	0.987637362637363	1	0.635473340587595	1	1	0.10062893081761	0.00291545189504373	0.00961538461538462	0.488512696493349	0.010989010989011	0.525510204081633	0.912751677852349	0.0021551724137931	0.00408719346049046	0.0050761421319797	1	0.0963414634146341	1	0.851370851370851	0.763092269326683	0.964285714285714	0.0548780487804878	0.113953488372093	0.0099290780141844	0.116279069767442	0.0286885245901639	1	0.971774193548387	0.651982378854626	0.79739507959479	0.00492610837438424	1	0.134765625	1	1	0.831010452961672	1	0.155234657039711	0.00609756097560976	0.222222222222222	1	0.00144300144300144	0.922705314009662	0.0845886442641947	0.677655677655678	0.00227272727272727	0.991724137931035	0.8495670995671	0.115384615384615	0.139784946236559	0.291897891231964	0.264525993883792	0.025	1	0.934744268077601	0.576086956521739
Non-small cell lung cancer	0.790123456790123	0.867697594501718	1	0.39193083573487	0.844961240310077	1	1	0.992636229749632	1	1	0.930830039525692	0.872727272727273	0.799242424242424	0.165354330708661	0.233502538071066	0.0814111261872456	0.22680412371134	1	0.0318840579710145	0.0907127429805616	0.0691729323308271	0.356115107913669	0.605442176870748	0.331521739130435	0.566735112936345	0.924433249370277	1	0.91304347826087	0.0303867403314917	0.952586206896552	0.110260336906585	0.248062015503876	0.590634441087613	1	0.911722141823444	0.00333333333333333	0.998487140695915	0.0249110320284698	0.998165137614679	0.986111111111111	0.76410998552822	0.839050131926121	1	0.0621761658031088	0.276368491321762	0.092741935483871	0.994708994708995	0.848765432098765	0.056	0.195852534562212	0.31331592689295	0.944866920152091	0.605095541401274	0.936764705882353	0.997627520759193	0.0478468899521531	0.00754716981132075	0.445388349514563	0.713576158940397	0.00757575757575758	1	0.355191256830601	0.263779527559055
Notch signaling pathway	1	0.988317757009346	1	0.543661971830986	0.817790530846485	0.662621359223301	1	0.992354740061162	0.880239520958084	1	1	0.0697674418604651	0.691340782122905	0.718905472636816	0.504237288135593	0.57201646090535	0.45186136071887	1	0.175675675675676	0.607929515418502	0.996865203761755	0.266447368421053	0.413199426111908	0.743243243243243	0.943037974683544	1	0.822669104204753	0.960556844547564	0.10079575596817	0.138939670932358	0.424	0.991616766467066	0.734254992319508	0.97984496124031	0.958397534668721	0.940809968847352	0.358255451713396	0.501718213058419	0.0526315789473684	0.996070726915521	0.955022488755622	0.914141414141414	0.692870201096892	1	0.348122866894198	0.996621621621622	0.463969658659924	0.990384615384615	0.132569558101473	0.967032967032967	0.549100968188105	0.856046065259117	1	0.0494590417310665	0.997533908754624	0.181818181818182	0.0205479452054795	0.681426814268143	0.266169154228856	0.993630573248408	0.915335463258786	0.996261682242991	0.839590443686007
Nucleotide excision repair	0.577099236641221	0.183294663573086	0.993342210386152	0.0078740157480315	0.416938110749186	1	0.926724137931034	1	0.342105263157895	1	0.538775510204082	0.475247524752475	0.998585572842999	0.166666666666667	0.108949416342412	0.135036496350365	0.168831168831169	0.209302325581395	0.294308943089431	0.111111111111111	0.964769647696477	0.7677793904209	0.556851311953353	0.973950795947902	1	0.473170731707317	0.422661870503597	1	0.930645161290323	1	0.9904	0.993961352657005	0.403269754768392	0.37984496124031	0.391304347826087	0.978193146417445	0.296	0.116312056737589	1	1	1	0.997448979591837	0.995565410199557	0.986996098829649	0.996587030716723	1	0.705209656925032	0.996894409937888	0.225888324873096	1	0.894217207334274	0.993762993762994	0.124087591240876	1	0.259485924112607	0.997368421052632	0.922096317280453	0.0193236714975845	0.930288461538462	0.932926829268293	0.966836734693878	1	1
Olfactory transduction	0.366666666666667	0.0631868131868132	0.0450958286358512	0.0458333333333333	0.0208078335373317	0.171875	0.0873907615480649	0.0326086956521739	0.153945666235446	0.00217391304347826	0.0581395348837209	0.00151975683890578	0.113744075829384	0.333333333333333	0.378076062639821	0.00121212121212121	0.018640350877193	0.0293637846655791	0.0202702702702703	0.0979667282809612	0.210526315789474	0.477611940298507	0.184769038701623	0.00490196078431373	0.206521739130435	0.248554913294798	0.005	0.145790554414784	0.300148588410104	0.134275618374558	0.0286123032904149	0.647181628392484	0.369505494505495	0.021505376344086	0.0153256704980843	0.318709677419355	0.533910533910534	0.00125156445556946	0.184300341296928	0.055327868852459	0.181462140992167	0.0046875	0.176056338028169	0.0217391304347826	0.480096501809409	0.313397129186603	0.484478935698448	0.00772200772200772	0.40981240981241	0.253401360544218	0.00578034682080925	0.0807339449541284	0.00114025085518814	0.340751043115438	0.26537216828479	0.211883408071749	0.68986568986569	0.0122358175750834	0.553623188405797	0.181912681912682	0.0134680134680135	0.0564334085778781	0.261363636363636
One carbon pool by folate	0.258278145695364	0.128260869565217	0.502189781021898	0.627749576988156	0.911931818181818	0.990950226244344	0.142405063291139	0.468697123519459	0.948019801980198	0.951417004048583	0.805168986083499	0.773851590106007	0.988673139158576	0.941176470588235	0.80379746835443	0.260115606936416	0.913793103448276	0.318702290076336	0.991482112436116	0.0390334572490706	0.785460992907801	0.607843137254902	0.996710526315789	0.729001584786054	0.492	0.736842105263158	0.183823529411765	0.847583643122677	0.837651122625216	0.45360824742268	0.917241379310345	0.873684210526316	0.353658536585366	0.943152454780362	0.611390284757119	0.944591029023747	0.865874363327674	0.907975460122699	0.387755102040816	0.979591836734694	0.9	0.305882352941176	0.482180293501048	0.969788519637462	0.929936305732484	0.858725761772853	0.692307692307692	0.997304582210243	0.490990990990991	0.518315018315018	0.608895705521472	0.195329087048832	0.741935483870968	0.102739726027397	0.627005347593583	0.475609756097561	0.92845786963434	0.823920265780731	0.750448833034111	0.0256410256410256	0.932642487046632	0.651162790697674	0.848854961832061
Oocyte meiosis	0.468354430379747	0.546448087431694	0.779411764705882	0.137980085348506	0.998738965952081	0.958005249343832	0.861675126903553	0.998628257887517	0.882275132275132	0.936170212765957	0.611670020120724	1	0.770949720670391	0.0710227272727273	0.0263157894736842	0.354838709677419	0.469026548672566	0.399355877616747	0.214180206794682	0.139146567717996	1	1	1	0.278481012658228	0.199570815450644	0.984375	0.996621621621622	0.557291666666667	0.55952380952381	1	0.0208333333333333	0.998938428874735	0.98993288590604	0.925619834710744	0.980821917808219	1	0.994074074074074	0.697047496790757	0.659536541889483	0.357438016528926	0.8582995951417	0.0858725761772853	0.111111111111111	0.725643896976484	0.979487179487179	0.976913730255164	0.0794551645856981	0.916334661354582	0.120845921450151	0.100840336134454	1	0.79383429672447	0.0945945945945946	0.723404255319149	0.398026315789474	0.0403225806451613	0.0952380952380952	0.455367231638418	0.0302114803625378	1	0.479233226837061	0.925925925925926	0.0125944584382872
Osteoclast differentiation	0.0862068965517241	0.00157977883096367	1	0.00337837837837838	0.00505050505050505	0.176315789473684	0.277777777777778	0.998624484181568	0.0691906005221932	0.316939890710383	0.00396039603960396	0.0683760683760684	0.949029126213592	0.00286532951289398	0.00892857142857143	0.00122549019607843	0.398148148148148	0.962722852512156	0.00318471337579618	0.00218340611353712	0.00140845070422535	0.00446428571428571	0.256637168141593	0.00126262626262626	0.0155555555555556	0.00147058823529412	0.409876543209877	0.025	0.00294985250737463	0.00225733634311512	0.00145137880986938	0.0163934426229508	0.00141242937853107	0.568493150684932	0.139566395663957	0.0588235294117647	0.998500749625187	0.00458715596330275	0.978339350180505	0.00193798449612403	0.747967479674797	0.952526799387443	1	0.18348623853211	0.00124069478908189	0.00591715976331361	0.00833333333333333	0.428198433420366	0.00149700598802395	0.00249376558603491	0.00118764845605701	0.071969696969697	0.00116550116550117	0.00137931034482759	0.00658616904500549	0.00900900900900901	0.00492610837438424	0.00112994350282486	0.00153846153846154	0.0196078431372549	0.430249632892805	0.00180505415162455	0.00988875154511743
Other glycan degradation	0.538271604938272	1	0.390322580645161	0.51114922813036	0.218700475435816	0.951945080091533	0.0633245382585752	0.104368932038835	0.990196078431373	0.143396226415094	0.947791164658635	0.971326164874552	0.858766233766234	0.140350877192982	0.342485549132948	0.660060975609756	0.96594427244582	0.293868921775899	0.131067961165049	0.0502793296089385	0.0340136054421769	0.482412060301508	0.050761421319797	0.472677595628415	0.934782608695652	0.707093821510298	0.283858998144712	0.774647887323944	1	0.755258126195029	0.477064220183486	0.88563829787234	0.976190476190476	0.319512195121951	0.581314878892734	0.0932642487046632	0.417874396135266	0.666666666666667	0.967924528301887	0.107070707070707	0.467532467532468	0.994652406417112	0.990384615384615	0.901049475262369	0.153645833333333	0.513178294573643	0.166666666666667	0.128415300546448	0.0818181818181818	0.991189427312775	0.26536312849162	0.357142857142857	0.872832369942196	0.846422338568935	0.0226415094339623	0.981927710843373	0.0758807588075881	1	0.876126126126126	0.46594982078853	0.942446043165468	0.876543209876543	0.476744186046512
